Category,Layer,Rank,Expert ID,Activation Count
adjacency,11,7,96,5503
adjacency,11,8,73,5187
adjacency,11,9,118,5058
adjacency,11,10,1,4606
adjacency,11,11,27,4471
adjacency,11,12,103,4222
adjacency,11,13,19,4083
adjacency,11,14,21,4029
adjacency,11,15,97,3756
adjacency,11,16,10,3603
adjacency,11,17,119,3544
adjacency,11,18,80,3526
adjacency,11,19,16,3507
adjacency,11,20,67,3480
adjacency,12,1,121,11805
adjacency,12,2,85,11664
adjacency,12,3,119,7873
adjacency,12,4,62,6844
adjacency,12,5,56,6532
adjacency,12,6,94,6412
adjacency,12,7,9,6406
adjacency,12,8,103,6398
adjacency,12,9,116,6396
adjacency,12,10,95,5953
adjacency,12,11,0,5812
adjacency,12,12,76,5211
adjacency,12,13,29,4680
adjacency,12,14,60,4583
adjacency,12,15,38,4566
adjacency,12,16,82,4434
adjacency,12,17,68,4422
adjacency,12,18,120,4311
adjacency,12,19,57,4181
adjacency,12,20,17,4147
adjacency,13,1,14,8846
adjacency,13,2,105,8294
adjacency,13,3,42,7873
adjacency,13,4,111,6898
adjacency,13,5,109,6868
adjacency,13,6,88,6674
adjacency,13,7,57,6480
adjacency,13,8,89,6426
adjacency,13,9,68,6154
adjacency,13,10,25,6110
adjacency,13,11,122,5903
adjacency,13,12,123,5415
adjacency,13,13,62,5323
adjacency,13,14,18,5240
adjacency,13,15,60,4775
adjacency,13,16,102,4582
adjacency,13,17,36,4581
adjacency,13,18,39,4363
adjacency,13,19,96,3838
adjacency,13,20,7,3830
adjacency,14,1,51,17067
adjacency,14,2,25,12382
adjacency,14,3,93,11055
adjacency,14,4,53,10354
adjacency,14,5,88,10351
adjacency,14,6,36,10027
adjacency,14,7,41,7969
adjacency,14,8,13,7546
adjacency,14,9,18,5314
adjacency,14,10,107,5217
adjacency,14,11,96,5189
adjacency,14,12,75,5026
adjacency,14,13,6,5011
adjacency,14,14,81,4968
adjacency,14,15,60,4912
adjacency,14,16,108,4778
adjacency,14,17,52,4251
adjacency,14,18,85,4176
adjacency,14,19,19,3826
adjacency,14,20,16,3759
adjacency,15,1,57,16739
adjacency,15,2,116,11434
adjacency,15,3,7,10546
adjacency,15,4,53,9459
adjacency,15,5,59,9277
adjacency,15,6,37,7145
adjacency,15,7,20,6277
adjacency,15,8,82,5885
adjacency,15,9,123,5761
adjacency,15,10,18,5185
adjacency,15,11,43,5156
adjacency,15,12,58,5000
adjacency,15,13,120,4998
adjacency,15,14,80,4909
adjacency,15,15,28,4789
adjacency,15,16,10,4727
adjacency,15,17,115,4505
adjacency,15,18,125,4228
adjacency,15,19,76,4228
adjacency,15,20,96,3751
adjacency,16,1,36,14789
adjacency,16,2,126,13139
adjacency,16,3,101,9655
adjacency,16,4,37,9128
adjacency,16,5,79,7358
adjacency,16,6,44,7332
adjacency,16,7,98,7026
adjacency,16,8,89,7026
adjacency,16,9,108,6466
adjacency,16,10,83,6268
adjacency,16,11,115,5833
adjacency,16,12,110,5779
adjacency,16,13,34,5712
adjacency,16,14,77,5596
adjacency,16,15,80,4703
adjacency,16,16,100,4510
adjacency,16,17,52,4340
adjacency,16,18,73,4227
adjacency,16,19,5,4101
adjacency,16,20,13,4005
adjacency,17,1,62,11734
adjacency,17,2,36,10533
adjacency,17,3,0,9192
adjacency,17,4,18,8711
adjacency,17,5,83,8208
adjacency,17,6,120,6285
adjacency,17,7,121,6281
adjacency,17,8,127,5758
adjacency,17,9,78,5392
adjacency,17,10,35,5173
adjacency,17,11,55,4984
adjacency,17,12,65,4968
adjacency,17,13,81,4807
adjacency,17,14,53,4686
