Category,Layer,Rank,Expert ID,Activation Count
height,14,9,107,5398
height,14,10,60,5294
height,14,11,75,5274
height,14,12,81,5148
height,14,13,18,4986
height,14,14,6,4919
height,14,15,96,4758
height,14,16,108,4589
height,14,17,16,4165
height,14,18,85,3911
height,14,19,20,3694
height,14,20,100,3453
height,15,1,57,16581
height,15,2,116,12460
height,15,3,7,11013
height,15,4,59,9420
height,15,5,37,8674
height,15,6,53,6606
height,15,7,20,6035
height,15,8,123,5935
height,15,9,82,5827
height,15,10,120,5349
height,15,11,18,5301
height,15,12,80,5067
height,15,13,10,4886
height,15,14,43,4848
height,15,15,58,4775
height,15,16,115,4501
height,15,17,28,4245
height,15,18,125,4026
height,15,19,56,3736
height,15,20,96,3716
height,16,1,36,15669
height,16,2,126,11939
height,16,3,101,9317
height,16,4,79,8419
height,16,5,37,8288
height,16,6,89,7744
height,16,7,44,7169
height,16,8,52,6379
height,16,9,108,6377
height,16,10,98,6122
height,16,11,83,6086
height,16,12,115,6055
height,16,13,110,5900
height,16,14,77,5284
height,16,15,80,5249
height,16,16,22,4785
height,16,17,100,4359
height,16,18,103,4327
height,16,19,34,4301
height,16,20,13,4283
height,17,1,62,11979
height,17,2,36,10177
height,17,3,0,8815
height,17,4,18,8773
height,17,5,83,8559
height,17,6,86,7920
height,17,7,127,6543
height,17,8,120,5851
height,17,9,35,5604
height,17,10,121,5464
height,17,11,78,5306
height,17,12,65,5004
height,17,13,88,4971
height,17,14,66,4733
height,17,15,55,4623
height,17,16,81,4292
height,17,17,117,4185
height,17,18,92,4105
height,17,19,54,3987
height,17,20,11,3941
height,18,1,74,17983
height,18,2,1,16738
height,18,3,86,14850
height,18,4,71,12097
height,18,5,62,10783
height,18,6,109,9727
height,18,7,8,9129
height,18,8,27,8573
height,18,9,111,7619
height,18,10,34,6620
height,18,11,20,6573
height,18,12,116,6487
height,18,13,7,6408
height,18,14,53,5446
height,18,15,16,5367
height,18,16,98,5045
height,18,17,75,4860
height,18,18,79,4073
height,18,19,80,3844
height,18,20,19,3836
height,19,1,83,15703
height,19,2,28,13507
height,19,3,115,11437
height,19,4,17,11432
height,19,5,111,10175
height,19,6,30,9552
height,19,7,41,9083
height,19,8,18,8581
height,19,9,109,8431
height,19,10,103,7559
height,19,11,64,7230
height,19,12,92,7207
height,19,13,106,6968
height,19,14,53,5934
height,19,15,91,4425
height,19,16,73,4293
height,19,17,13,3803
height,19,18,62,3698
height,19,19,96,3632
height,19,20,113,3625
height,20,1,46,15393
height,20,2,88,14908
height,20,3,21,13171
height,20,4,72,11747
height,20,5,20,10738
height,20,6,111,8979
height,20,7,23,7377
height,20,8,107,7070
height,20,9,103,6530
height,20,10,15,6504
height,20,11,27,5483
height,20,12,67,5310
height,20,13,38,5210
height,20,14,125,5134
height,20,15,43,4999
height,20,16,35,4897
height,20,17,8,4749
height,20,18,78,4692
height,20,19,81,4626
height,20,20,94,4148
height,21,1,28,14118
height,21,2,10,13306
height,21,3,49,12716
height,21,4,86,11535
height,21,5,104,9496
height,21,6,114,9452
height,21,7,40,9079
height,21,8,30,8563
height,21,9,5,8322
height,21,10,87,7740
height,21,11,37,7661
height,21,12,23,6745
height,21,13,57,5710
height,21,14,41,4828
height,21,15,27,4360
height,21,16,79,3966
height,21,17,122,3600
height,21,18,59,3383
height,21,19,43,3252
height,21,20,83,3243
height,22,1,26,9798
height,22,2,86,9210
height,22,3,98,7288
height,22,4,65,6987
height,22,5,124,6691
height,22,6,20,6530
height,22,7,116,6519
height,22,8,96,6292
height,22,9,45,5881
height,22,10,109,5672
height,22,11,47,5126
height,22,12,111,4658
height,22,13,100,4514
height,22,14,15,4385
height,22,15,30,4342
height,22,16,82,4303
height,22,17,110,4264
height,22,18,76,4235
height,22,19,23,4216
height,22,20,127,4165
height,23,1,41,11294
height,23,2,39,9379
height,23,3,64,8932
height,23,4,42,8328
height,23,5,96,7158
height,23,6,22,6594
height,23,7,21,6591
height,23,8,85,5756
height,23,9,73,5599
height,23,10,1,5410
height,23,11,28,5198
height,23,12,126,5192
height,23,13,118,4898
height,23,14,97,4711
height,23,15,67,4658
height,23,16,19,4216
height,23,17,122,4182
height,23,18,116,4108
height,23,19,55,3915
height,23,20,79,3731
height,24,1,121,13059
height,24,2,85,12789
height,24,3,119,10009
height,24,4,95,9824
height,24,5,0,6968
height,24,6,113,6049
height,24,7,103,5991
height,24,8,25,5459
height,24,9,17,5420
height,24,10,56,5397
height,24,11,65,5224
height,24,12,36,5113
height,24,13,62,5008
height,24,14,126,4779
height,24,15,9,4570
height,24,16,116,4569
height,24,17,60,4394
height,24,18,38,4255
height,24,19,67,4248
height,24,20,64,4112
height,25,1,104,9807
height,25,2,125,7951
height,25,3,122,7800
height,25,4,105,7123
height,25,5,68,6825
height,25,6,111,6453
height,25,7,57,5843
height,25,8,36,5700
height,25,9,127,5513
height,25,10,62,5378
height,25,11,14,5362
height,25,12,63,5216
height,25,13,99,5204
height,25,14,107,5083
height,25,15,109,5080
height,25,16,42,5049
height,25,17,95,4956
height,25,18,0,4836
height,25,19,32,4767
height,25,20,70,3836
height,26,1,51,14689
height,26,2,53,10278
height,26,3,36,8845
height,26,4,71,8056
height,26,5,88,7960
height,26,6,25,6801
height,26,7,118,6681
height,26,8,93,6406
height,26,9,108,5868
height,26,10,22,5798
height,26,11,60,5482
height,26,12,13,5114
height,26,13,107,5044
height,26,14,81,4655
height,26,15,96,4632
height,26,16,75,4630
height,26,17,21,4432
height,26,18,52,4200
height,26,19,15,4040
height,26,20,110,3674
height,27,1,57,16359
height,27,2,7,11859
height,27,3,116,11517
height,27,4,37,9370
height,27,5,59,8676
height,27,6,126,8094
height,27,7,120,6661
height,27,8,18,6195
height,27,9,53,6072
height,27,10,115,4974
height,27,11,43,4839
height,27,12,71,4726
height,27,13,93,4230
height,27,14,58,4159
height,27,15,76,3989
height,27,16,83,3941
height,27,17,123,3841
height,27,18,90,3721
height,27,19,20,3682
height,27,20,125,3592
height,28,1,36,12640
height,28,2,126,12055
height,28,3,101,11915
height,28,4,89,10201
height,28,5,79,10173
height,28,6,85,9566
height,28,7,37,7327
height,28,8,98,6280
height,28,9,44,5881
height,28,10,13,5464
height,28,11,83,5270
height,28,12,80,5180
height,28,13,100,5103
height,28,14,105,4877
height,28,15,50,4876
height,28,16,103,4731
height,28,17,65,4642
height,28,18,34,4351
height,28,19,42,4303
height,28,20,110,4260
height,29,1,18,11284
height,29,2,62,10212
height,29,3,72,6815
height,29,4,126,6586
height,29,5,86,6183
height,29,6,36,6066
height,29,7,83,5960
height,29,8,92,5601
height,29,9,88,5489
height,29,10,78,5450
height,29,11,122,5217
height,29,12,81,5055
height,29,13,121,4688
height,29,14,2,4599
height,29,15,127,4367
height,29,16,0,4282
height,29,17,59,4176
height,29,18,54,4139
height,29,19,66,4127
height,29,20,11,4115
height,30,1,74,17312
height,30,2,1,13916
height,30,3,71,11330
height,30,4,86,11053
height,30,5,27,10373
height,30,6,109,10229
height,30,7,62,9079
height,30,8,20,8974
height,30,9,59,7380
height,30,10,8,6745
height,30,11,118,6318
height,30,12,111,5212
height,30,13,75,4859
height,30,14,26,4786
height,30,15,70,4546
height,30,16,116,4280
height,30,17,7,4202
height,30,18,123,4187
height,30,19,14,4162
height,30,20,24,3781
height,31,1,83,12290
height,31,2,28,12285
height,31,3,109,10984
height,31,4,103,10570
height,31,5,30,10378
height,31,6,111,10230
height,31,7,17,9799
height,31,8,18,7887
height,31,9,106,6714
height,31,10,41,5846
height,31,11,9,5575
height,31,12,96,5014
height,31,13,64,4908
height,31,14,105,4518
height,31,15,92,4472
height,31,16,53,4393
height,31,17,55,4124
height,31,18,82,4096
height,31,19,113,3739
height,31,20,62,3696
height,32,1,88,13981
height,32,2,46,11020
height,32,3,21,10985
height,32,4,72,9023
height,32,5,111,8508
height,32,6,67,8276
height,32,7,107,7473
height,32,8,9,6976
height,32,9,15,6824
height,32,10,35,6511
height,32,11,23,5996
height,32,12,41,5760
height,32,13,38,5407
height,32,14,20,4995
height,32,15,79,4233
height,32,16,103,4219
height,32,17,4,4109
height,32,18,125,4051
height,32,19,116,3757
height,32,20,57,3714
height,33,1,28,11383
height,33,2,49,10723
height,33,3,86,10153
height,33,4,104,9186
height,33,5,5,7156
height,33,6,57,6877
height,33,7,114,6844
height,33,8,37,6740
height,33,9,23,6731
height,33,10,40,6445
height,33,11,30,6311
height,33,12,69,6018
height,33,13,10,5983
height,33,14,87,5073
height,33,15,27,4553
height,33,16,59,4451
height,33,17,122,4377
height,33,18,68,3873
height,33,19,83,3606
height,33,20,54,3504
height,34,1,26,7959
